TRACTS,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Census Tract 4432, Alameda County, California",3704,113,3591,3520,923,29,2,2527,14,25,184
"Census Tract 4433.01, Alameda County, California",4074,275,3799,3907,1371,67,2,2380,16,71,167
"Census Tract 4433.21, Alameda County, California",3142,240,2902,3027,588,99,14,2234,12,80,115
"Census Tract 4433.22, Alameda County, California",2985,242,2743,2845,932,47,19,1742,11,94,140
"Census Tract 4441, Alameda County, California",7280,2100,5180,6776,3835,254,20,1602,106,959,504
"Census Tract 4442, Alameda County, California",6499,2320,4179,6020,2877,259,65,1621,120,1078,479
"Census Tract 4443.01, Alameda County, California",3855,1304,2551,3579,1660,187,13,951,68,700,276
"Census Tract 4443.02, Alameda County, California",4354,2104,2250,4062,1566,207,58,940,87,1204,292
"Census Tract 4444, Alameda County, California",5114,2709,2405,4819,2114,216,27,983,69,1410,295
"Census Tract 4445, Alameda County, California",6696,2672,4024,6274,2089,380,44,2024,84,1653,422
"Census Tract 4446.01, Alameda County, California",4761,1250,3511,4480,2230,202,39,1400,65,544,281
"Census Tract 4446.02, Alameda County, California",4014,535,3479,3764,1195,297,13,2050,22,187,250
"Census Tract 4501.01, Alameda County, California",4349,441,3908,4077,1876,293,15,1696,15,182,272
"Census Tract 4501.02, Alameda County, California",9434,2024,7410,9073,3527,2758,108,1805,149,726,361
"Census Tract 4502, Alameda County, California",4067,612,3455,3800,2505,200,17,798,29,251,267
"Census Tract 4503, Alameda County, California",4551,682,3869,4236,2978,172,16,786,30,254,315
"Census Tract 4504, Alameda County, California",5968,1257,4711,5520,3781,146,49,1002,22,520,448
"Census Tract 4505.01, Alameda County, California",3129,373,2756,2961,2192,96,13,455,14,191,168
"Census Tract 4505.02, Alameda County, California",4185,417,3768,3920,2803,132,12,886,14,73,265
"Census Tract 4506.01, Alameda County, California",3379,234,3145,3231,2338,59,10,760,6,58,148
"Census Tract 4506.02, Alameda County, California",8722,785,7937,8290,5791,154,29,2143,35,138,432
"Census Tract 4506.03, Alameda County, California",4657,519,4138,4408,3322,60,19,882,12,113,249
"Census Tract 4506.04, Alameda County, California",4796,509,4287,4587,3828,49,16,571,6,117,209
"Census Tract 4506.05, Alameda County, California",3685,266,3419,3546,2989,40,7,458,7,45,139
"Census Tract 4506.06, Alameda County, California",5733,359,5374,5498,4035,67,18,1268,11,99,235
"Census Tract 4506.07, Alameda County, California",5251,1027,4224,4985,3387,111,23,1010,11,443,266
"Census Tract 4507.01, Alameda County, California",8075,536,7539,7711,5845,98,20,1657,3,88,364
"Census Tract 4507.41, Alameda County, California",4768,860,3908,4536,3448,93,30,596,4,365,232
"Census Tract 4507.42, Alameda County, California",4576,476,4100,4349,3288,68,14,867,11,101,227
"Census Tract 4507.43, Alameda County, California",4734,723,4011,4468,1888,179,22,2169,17,193,266
"Census Tract 4507.44, Alameda County, California",4831,435,4396,4555,3203,88,13,1143,8,100,276
"Census Tract 4507.45, Alameda County, California",5956,424,5532,5684,2887,99,2,2566,1,129,272
"Census Tract 4507.46, Alameda County, California",3152,285,2867,3024,2512,37,15,400,9,51,128
"Census Tract 4507.50, Alameda County, California",3618,417,3201,3327,1663,299,9,1206,7,143,291
"Census Tract 4507.51, Alameda County, California",2115,143,1972,2020,757,78,0,1135,4,46,95
"Census Tract 4507.52, Alameda County, California",5262,379,4883,4970,2012,191,10,2656,7,94,292
"Census Tract 4511.01, Alameda County, California",7081,1097,5984,6703,5102,201,33,956,38,373,378
"Census Tract 4511.02, Alameda County, California",4011,364,3647,3850,3323,41,13,371,3,99,161
"Census Tract 4512.01, Alameda County, California",6595,1189,5406,6206,4805,183,74,682,22,440,389
"Census Tract 4512.02, Alameda County, California",3634,748,2886,3434,2756,47,27,318,9,277,200
"Census Tract 4513, Alameda County, California",6560,1378,5182,6167,4982,124,33,406,19,603,393
"Census Tract 4514.01, Alameda County, California",5850,1299,4551,5540,4221,163,21,578,22,535,310
"Census Tract 4514.03, Alameda County, California",2220,581,1639,2089,1533,46,11,176,9,314,131
"Census Tract 4514.04, Alameda County, California",6610,3407,3203,6256,3535,120,63,445,21,2072,354
"Census Tract 4515.01, Alameda County, California",4668,785,3883,4441,3578,114,6,459,4,280,227
"Census Tract 4515.03, Alameda County, California",5660,1228,4432,5381,4395,109,47,413,12,405,279
"Census Tract 4515.04, Alameda County, California",1509,257,1252,1411,1166,36,5,132,5,67,98
"Census Tract 4515.05, Alameda County, California",3337,348,2989,3176,2880,22,12,186,8,68,161
"Census Tract 4515.06, Alameda County, California",3138,1061,2077,2915,2125,137,17,203,18,415,223
"Census Tract 4516.01, Alameda County, California",4617,636,3981,4408,3865,68,16,288,9,162,209
"Census Tract 4516.02, Alameda County, California",6224,970,5254,5976,5053,114,33,342,26,408,248
"Census Tract 4517.01, Alameda County, California",3102,606,2496,2885,2393,41,18,188,23,222,217
"Census Tract 4517.03, Alameda County, California",3859,544,3315,3649,2999,67,13,413,18,139,210
"Census Tract 4517.04, Alameda County, California",4449,776,3673,4250,3582,78,38,300,10,242,199
"Census Tract 9819, Alameda County, California",38,4,34,35,26,4,0,4,0,1,3
"Census Tract 9820, Alameda County, California",71,11,60,66,49,3,3,9,0,2,5
"Census Tract 9832, Alameda County, California",540,58,482,508,318,81,4,96,1,8,32
"Census Tract 9900, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
